total_loss,sppo_loss,ce_loss,policy_full_acc,ref_full_acc,policy_critical_acc,ref_critical_acc,policy_full_margin,ref_full_margin,full_margin_improve,policy_critical_margin,ref_critical_margin,critical_margin_improve,policy_full_pearson,ref_full_pearson,policy_critical_pearson,ref_critical_pearson,epoch
0.826647,0.502436,1.621054,0.570242,0.602512,0.590918,0.596522,0.004102,0.004411,-0.000308,0.276062,0.281852,-0.00579,0.042533,0.05616,0.045582,0.046199,1
0.826029,0.498793,1.636181,0.573527,0.60657,0.613527,0.604444,0.004821,0.004561,0.00026,0.307096,0.293868,0.013229,0.008388,0.018739,0.011496,0.01317,2
0.815282,0.491597,1.618425,0.583961,0.609469,0.618164,0.604058,0.00564,0.004996,0.000645,0.366493,0.315041,0.051452,0.056412,0.070696,0.067368,0.063909,3
0.809959,0.484275,1.628422,0.583188,0.609662,0.628213,0.606763,0.006256,0.004838,0.001418,0.40727,0.312966,0.094303,0.066391,0.06397,0.058706,0.052384,4
0.799919,0.473323,1.632982,0.605024,0.617585,0.652367,0.608696,0.007006,0.00491,0.002096,0.480368,0.319617,0.160751,0.056505,0.088141,0.087911,0.074582,5
0.786993,0.465973,1.605101,0.610628,0.614686,0.655266,0.603092,0.008299,0.005003,0.003296,0.520822,0.311932,0.20889,0.084519,0.103208,0.105234,0.090493,6
0.781305,0.455014,1.631452,0.612604,0.591726,0.658419,0.579934,0.007662,0.004223,0.003439,0.558184,0.278026,0.280157,0.062671,0.06828,0.092471,0.061028,7
0.772397,0.453566,1.594152,0.625507,0.604831,0.663575,0.592077,0.008873,0.004571,0.004301,0.592139,0.292918,0.299221,0.053603,0.041165,0.055996,0.033871,8
0.763202,0.443179,1.600114,0.629372,0.597488,0.679227,0.592657,0.009395,0.004429,0.004967,0.648721,0.283858,0.364863,0.018874,0.028573,0.038558,0.008001,9
0.757528,0.439356,1.590861,0.643285,0.61256,0.702222,0.611594,0.010679,0.005097,0.005582,0.718794,0.318439,0.400355,0.086668,0.098393,0.104439,0.081161,10
0.7534,0.43411,1.596448,0.646877,0.612647,0.702185,0.614388,0.011845,0.005435,0.006409,0.791303,0.351189,0.440114,0.079,0.094185,0.106318,0.080923,11
0.749972,0.42997,1.600007,0.643478,0.605024,0.70029,0.597874,0.011311,0.004671,0.00664,0.768918,0.29865,0.470268,0.054692,0.058301,0.085941,0.049657,12
0.746521,0.429587,1.584673,0.641353,0.604638,0.691014,0.602319,0.0107,0.004443,0.006257,0.761655,0.280091,0.481564,0.071483,0.054286,0.088196,0.047492,13
0.748853,0.428155,1.603488,0.655072,0.61913,0.709758,0.611787,0.01172,0.005021,0.006699,0.830606,0.333409,0.497197,0.066098,0.052773,0.085717,0.047796,14
0.737597,0.421471,1.580632,0.657971,0.605604,0.713816,0.594396,0.012671,0.004711,0.007959,0.844165,0.304469,0.539696,0.058659,0.042414,0.084891,0.052034,15
0.74564,0.422846,1.613969,0.648434,0.607267,0.70661,0.603981,0.012411,0.004761,0.007651,0.836448,0.292799,0.543649,0.088157,0.079083,0.09681,0.068069,16
0.736264,0.420601,1.578312,0.662415,0.612947,0.709758,0.596908,0.013466,0.004919,0.008547,0.85589,0.297722,0.558168,0.063223,0.055477,0.082578,0.042465,17
0.732861,0.417447,1.577066,0.650628,0.609662,0.714589,0.60715,0.012613,0.004863,0.00775,0.903979,0.318243,0.585736,0.077437,0.072068,0.109606,0.067053,18
